2,2,5,13,14,15,17,21,24,25,26,27,34,36,40,43,44,45,46,47,48,49,2,49
2,3,3,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,2,49
2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4
,,,,,,,,,,,,,,,,,,,,,,,
11,11,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,6,8,11
49,49,7,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
11,11,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11
49,49,49,49,49,49,49,49,49,9,49,9,49,49,49,49,49,49,49,49,49,49,49,49
49,49,10,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,29,18,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
50,50,50,50,28,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
49,49,49,49,49,49,49,16,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
,,,,,,,,,,,,,,,,,,,,,,,
20,20,20,20,20,20,41,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
23,23,23,39,38,23,23,22,23,33,23,23,23,23,23,23,23,23,23,23,23,23,23,23
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
32,32,5,32,32,32,32,32,32,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32
,,,,,,,,,,,,,,,,,,,,,,,
42,42,5,42,42,42,42,42,42,42,42,51,42,42,42,42,42,42,42,42,42,42,42,42
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
49,49,49,49,49,49,49,49,49,49,49,49,35,49,49,49,49,49,49,49,49,49,49,49
,,,,,,,,,,,,,,,,,,,,,,,
49,49,49,49,49,49,49,49,49,49,49,49,49,37,49,49,49,49,49,49,49,49,49,49
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
END,,,,,,,,,,,,,,,,,,,,,,,
